	ip				port	位置		可用度
106.38.251.62 		8088	北京电信	5
122.96.59.105 		81		南京联通	5
117.169.66.107		81		移动		5
58.247.125.205		80		上海		5（74天）
221.224.163.28 		80 		江苏苏州	5（118天）
122.225.106.36 		80 		浙江湖州	5（550天）
116.226.61.38 		8118 	上海		5


210.13.102.81 		8080 	上海		4(200天以上)
101.201.235.141 	8000 	北京		4








101.226.249.237		80		上海		1(400天以上)
115.238.228.9 		8080 	江苏常州	1
218.56.132.155 		8080 	山东临沂	1	
121.176.254.125 	80 		韩国 		1
115.236.166.125 	8080 	浙江杭州	1
113.200.159.155 	9999 	陕西西安	1
182.48.102.10 		9000 	北京		1
